Issue key,Issue id,Parent id,Epic Name,Epic Link,Labels,Labels,Issue Type,Priority,Summary,Acceptance Criteria,Story Points,Assignee,Status,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Due Date,Created,Updated,Resolved
EFDDH-909,7848528,,,EFDDH-37,EFDDH-BP-MVPREL1,,Story,Low,"ARF223:Deployment: 223 - Test plan, test execution - x ray tests",,5,kummarip,Story Done,BP: EFDDH Sprint 5,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,,,,,,,,,18/07/2024,30/08/2024,11/10/2024,06/09/2024
EFDDH-908,7848526,,,EFDDH-37,EFDDH-BP-MVPREL1,,Story,Low,ARF223:Deployment: 223 - Release 2 TSR,,5,kummarip,Story Done,BP: EFDDH Sprint 5,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,,,,,,,,,18/07/2024,30/08/2024,11/10/2024,06/09/2024
EFDDH-907,7848525,,,EFDDH-37,,,Story,Low,ARF223:Misc: 223 - showcase prep ,,2,kummarip,To Do,BP: EFDDH Sprint 5,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,,,,,,,30/10/2024,30/08/2024,30/10/2024,
EFDDH-906,7848220,,,EFDDH-13,,,Story,Low,Platform:Build: Google Service Account to have Google Create Group Access ,,3,raja19,Story Done,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,,,,,,,,,,,,,,,,,30/08/2024,26/09/2024,26/09/2024
EFDDH-905,7847538,,,EFDDH-3,RegDHGCPRel4,,Story,Highest, ARF223:Build: 223 - ECDM and REF Data ARF223 orch intgeration with QR dataaset outputs ,,1,muralib2,Story Done,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,BP: EFDDH Sprint 17,BP: EFDDH Sprint 19,BP: EFDDH Sprint 20,,,,,,20/09/2024,30/08/2024,20/11/2024,19/11/2024
EFDDH-904,7847531,,,EFDDH-847,,,Story,Highest,Platform:BAU: dbt loom for flat in pipeline do not exist - pls install ,,,raja19,Closed,BP: EFDDH Sprint 14,,,,,,,,,,,,,,,,,,,30/08/2024,30/08/2024,30/08/2024
EFDDH-903,7847218,,,EFDDH-37,RegDHGCPRel29Aug,,Bug,Highest,ARF223: Prod Bug - Remove Collation from REF Dataset and Tables,,1,dabkea,Story Done,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,,,,,,,,,,18/07/2024,30/08/2024,30/08/2024,30/08/2024
EFDDH-902,7845898,,,EFDDH-37,,,Story,High,ARF223:Build: Valuation join to be revisited -on limiting inner query with where cluase,,5,xavierl,Closed,BP: EFDDH Sprint 14,,,,,,,,,,,,,,,,,,06/09/2024,29/08/2024,30/08/2024,30/08/2024
EFDDH-901,7845785,,,EFDDH-8,,,Story,Low,Platform Build: Fix the Issue with Managed Datasets cleanup job,,1,thiruns1,Backlog,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,BP: EFDDH Sprint 18,BP: EFDDH Sprint 20,BP: EFDDH Sprint 21,,,,,,,,,,,,,,29/08/2024,02/12/2024,
EFDDH-900,7845773,,,EFDDH-8,,,Story,Highest,Platform:Build: FLAT Pipeline and Automation to SIT,,1,thiruns1,Story in Progress,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,BP: EFDDH Sprint 18,BP: EFDDH Sprint 19,BP: EFDDH Sprint 20,BP: EFDDH Sprint 21,,,,,,,,,,,,02/12/2024,29/08/2024,02/12/2024,
EFDDH-899,7845766,,,EFDDH-8,,,Story,Low,Platform:Build: DGCP Check SIT Testing for all 80 files,,3,thiruns1,Backlog,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,BP: EFDDH Sprint 20,BP: EFDDH Sprint 22,,,,,,,,,,,,,,,29/08/2024,28/11/2024,
EFDDH-898,7845765,,,,,,Story,Low,Remove the K8 Operator for all DAG and pipeline using custom operator,,,mahajaa4,Backlog,,,,,,,,,,,,,,,,,,,,29/08/2024,29/08/2024,
EFDDH-897,7845763,,,EFDDH-9,,,Story,Low,Platform: Build - End to END K8 Setup for REGDH APP,,5,mahajaa4,Backlog,,,,,,,,,,,,,,,,,,,,29/08/2024,10/09/2024,
EFDDH-896,7844929,,,EFDDH-37,RegDHGCPRel29Aug,,Bug,Highest,ARF223: Prod Bug - XFM IN perf issue xfm_in_ARBLS_VAL_CAPIDSAU_VAL,,1,dabkea,Story Done,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,,,,,,,,,,18/07/2024,29/08/2024,23/09/2024,30/08/2024
EFDDH-895,7844715,,,EFDDH-13,,,Story,Low,Platform:Control/IAM: ENV Specific GMS Personas,,3,mahajaa4,Story Done,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,,,,,,,,,,,,,,,,,29/08/2024,02/09/2024,02/09/2024
EFDDH-894,7844641,,,,EFDDH-BP-MVPREL1,,Story,Low,ARF223:Deployment - PROD release 2 prep and activities ,"As a RL, need to Create MDR  for platform activation and integration of ARF 223 use case and get all approvals/endorsements for Prod release.",,bvineeth,Story Done,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,,,,,,,,,,,,18/07/2024,29/08/2024,18/09/2024,18/09/2024
EFDDH-893,7843953,,,EFDDH-3,RegDHGCPRel29Aug,,Bug,Highest,ARF223: Prod Bug - XFM IN perf issue xfm_in_CAPILPAU_VAL,,1,muralib2,Story Done,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,,,,,,,,,,18/07/2024,29/08/2024,23/09/2024,30/08/2024
EFDDH-892,7843945,,,EFDDH-3,RegDHGCPRel29Aug,,Bug,Highest,ARF223: Prod Bug - collation issue fix,,1,dabkea,Story Done,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,,,,,,,,,,18/07/2024,29/08/2024,23/09/2024,30/08/2024
EFDDH-891,7843981,,,EFDDH-37,,,Story,Medium,ARF223: Find time taking queries and redesign them to improve performance (feed it back to metadata excel changes),,3,xavierl,Backlog,BP: EFDDH Sprint 17,BP: EFDDH Sprint 20,BP: EFDDH Sprint 21,,,,,,,,,,,,,,,,16/10/2024,29/08/2024,28/11/2024,
EFDDH-890,7843977,,,EFDDH-37,,,Story,Low,Change Collation setting for all tables/views in BQ,,,dabkea,Closed,,,,,,,,,,,,,,,,,,,,29/08/2024,30/10/2024,30/10/2024
EFDDH-889,7843973,,,EFDDH-37,,,Story,Low,ARF223: Verify the output of REGEX and redesign if required (feed it back to metadata excel changes),,,dabkea,Closed,,,,,,,,,,,,,,,,,,,,29/08/2024,30/10/2024,30/10/2024
EFDDH-888,7843969,,,EFDDH-37,,,Story,Low,ARF223: Check datatype all columns in PIVOT table and cast it only at IFC level and remove all casting in between,,8,dabkea,Backlog,,,,,,,,,,,,,,,,,,,,29/08/2024,30/10/2024,
EFDDH-887,7839867,,,EFDDH-37,RegDHGCPRel29Aug,,Story,Highest,ARF223:BRS: 223 - SIT Batch Run,,5,geesalan,Story Done,BP: EFDDH Sprint 5,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,,,,,,,,,,18/07/2024,28/08/2024,02/09/2024,02/09/2024
EFDDH-886,7839691,7828054,,,,,Sub Task,Low,Testing to confirm - DAG variables,,,geesalan,Done,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,,,,,,,,,,,,,,28/08/2024,25/09/2024,25/09/2024
EFDDH-885,7839114,,,,,,Story,Low,Default Collation at Table Level for Ref Data,,2,mahajaa4,Story Done,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,,,,,,,,,,,,,,,,,28/08/2024,29/08/2024,29/08/2024
EFDDH-884,7839108,,,,,,Story,Low,Platform: Build - Fix issues in SIT Deployment for release v2.0.0,,2,mahajaa4,Story Done,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,,,,,,,,,,,,,,,,,28/08/2024,29/08/2024,29/08/2024
EFDDH-883,7839206,,,EFDDH-37,,,Story,Low,ARF223: Validate all Date and Numeric columns at IFC layer,,5,dabkea,Backlog,,,,,,,,,,,,,,,,,,,,28/08/2024,30/10/2024,
EFDDH-882,7839203,,,EFDDH-37,,,Story,High,ARF223: Get latest cut from MD framework for 223 SQLs and add delta to GCP project,,3,dabkea,Backlog,,,,,,,,,,,,,,,,,,,,28/08/2024,30/10/2024,
EFDDH-881,7838130,,,EFDDH-37,RegDHGCPRel29Aug,,Bug,Highest,ARF223: SIT Issue - Handle SIT deployment failures,,1,dabkea,Story Done,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,,,,,,,,,,18/07/2024,28/08/2024,30/08/2024,30/08/2024
EFDDH-880,7835187,,,EFDDH-847,,,Story,Medium,Platform:BAU: Unable to run queries in GCP using anz-fin-regdh-dev project,,,,Backlog,,,,,,,,,,,,,,,,,,,,27/08/2024,27/08/2024,
EFDDH-879,7833830,,,EFDDH-870,RegDHGCPRel29Aug,,Xray Test Execution,Medium,ARF223:System Testing : Prod deployment of DAG sync big to sync deletes and Segregation of service specific tfvars -anav,,,mahajaa4,Done,,,,,,,,,,,,,,,,,,,,27/08/2024,30/08/2024,30/08/2024
EFDDH-878,7833818,,,EFDDH-870,RegDHGCPRel29Aug,,Story,Low,Platform:Prod deployment of DAG sync big to sync deletes and Segregation of service specific tfvars,,5,mahajaa4,Story Done,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,,,,,,,,,,,,,,,,,27/08/2024,30/08/2024,30/08/2024
EFDDH-877,7833539,,,EFDDH-37,RegDHGCPRel29Aug,,Xray Test Execution,Medium,ARF223:System Testing : PROD bugs - Bsns date update logic fix,,,geesalan,In Progress,,,,,,,,,,,,,,,,,,,,27/08/2024,15/11/2024,
EFDDH-876,7833533,,,EFDDH-870,RegDHGCPRel29Aug,,Xray Test Execution,Medium,ARF223:System Testing : PROD bugs for no Data in CCY CNF-pkk,,,kummarip,Done,,,,,,,,,,,,,,,,,,,,27/08/2024,11/10/2024,30/08/2024
EFDDH-875,7833528,,,EFDDH-870,RegDHGCPRel29Aug,,Xray Test Execution,Medium,ARF223:System Testing : QR ECDM PROD and REF PROD and PIHAU PROD access-Bala,,,thirunab,Done,,,,,,,,,,,,,,,,,,,,27/08/2024,30/08/2024,30/08/2024
EFDDH-874,7833509,,,EFDDH-870,RegDHGCPRel29Aug,,Xray Test Execution,Medium,ARF223:System Testing : CAD PRES VIEWS -Barath,,,muralib2,Done,,,,,,,,,,,,,,,,,,,,27/08/2024,30/08/2024,30/08/2024
EFDDH-873,7833327,,,EFDDH-37,RegDHGCPRel29Aug,,Story,Low,ARF223:Deployment: CCY_CNF_IN and DAG PROD deployment ,,5,kummarip,Story Done,BP: EFDDH Sprint 5,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,,,,,,,,,18/07/2024,27/08/2024,10/09/2024,10/09/2024
EFDDH-872,7833137,,,EFDDH-870,RegDHGCPRel29Aug,,Xray Test Execution,Medium,ARF223:SIT: Testing Requirements for all STs for PROD Data bugs identified - CNF_PIVOT tables -Naresh,,,geesalan,Done,,,,,,,,,,,,,,,,,,,,27/08/2024,30/08/2024,30/08/2024
EFDDH-871,7833128,,,EFDDH-870,RegDHGCPRel29Aug,,Xray Test Execution,Medium,ARF223:System Testing : Testing Requirements for all STs for PROD Data bugs identified - CNF_PIVOT tables -Ajay,,,dabkea,Done,,,,,,,,,,,,,,,,,,,,27/08/2024,30/08/2024,30/08/2024
EFDDH-870,7833119,,ARF223:ST and SIT for 29 Aug Rel,,RegDHGCPRel29Aug,,Epic,Medium,ARF223:ST and SIT for 29 Aug Rel,,,kummarip,Epic Done,BP: EFDDH Sprint 14,,,,,,,,,,,,,,,,,,,27/08/2024,23/09/2024,30/08/2024
EFDDH-869,7833096,,,EFDDH-654,RegDHGCPRel29Aug,,Xray Test,Medium,ARF223:System Testing : Testing Requirements for all STs for PROD Data bugs identified ,,,kummarip,Done,,,,,,,,,,,,,,,,,,,,27/08/2024,03/10/2024,30/08/2024
EFDDH-868,7833089,,,EFDDH-654,,,Xray Test Plan,Low,ARF223:System Testing: Test Plan for all STs Data issues in PROD for July Release for RegDH GCP,,,kummarip,Done,,,,,,,,,,,,,,,,,,,,27/08/2024,23/09/2024,30/08/2024
EFDDH-867,7831426,,,EFDDH-847,,,Story,Highest,Platform:BAU: trying to create template page on github fin tech doc but getting below while pushing on feature branch ,,,,Closed,BP: EFDDH Sprint 14,,,,,,,,,,,,,,,,,,,26/08/2024,29/08/2024,29/08/2024
EFDDH-866,7830683,7719636,,,,,Sub Task,Low,PR review,,,ajay.dabke@anz.com,Done,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,,,,,,,,,,26/08/2024,29/08/2024,29/08/2024
EFDDH-865,7829944,,,EFDDH-35,,,Story,Highest,ARF223:Controls/IAM: 223 - Add FSDI users into EFAD org ,,1,mahajaa4,Story Done,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,,,,,,,,,,18/07/2024,26/08/2024,29/08/2024,29/08/2024
EFDDH-864,7828330,,,EFDDH-847,,,Story,Highest,Platform:BAU: REF Dataset to be created using case insensitive collation - Check Ajay's changes,,1,mahajaa4,Story Done,BP: EFDDH Sprint 14,,,,,,,,,,,,,,,,,,,26/08/2024,27/08/2024,27/08/2024
EFDDH-863,7828226,,,EFDDH-11,,,Story,Low,Platform: Release implementation plan prep,,5,raja19,Story Done,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,,,,,,,,,,,,,,,,26/08/2024,06/09/2024,06/09/2024
EFDDH-862,7828217,,,EFDDH-37,EFDDH-BP-MVPREL1,,Story,Low,ARF223:Misc: 223 - FSDI access ,,5,kummarip,Story Done,BP: EFDDH Sprint 5,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,,,,,,,,,,18/07/2024,26/08/2024,11/10/2024,29/08/2024
EFDDH-861,7828216,,,EFDDH-37,EFDDH-BP-MVPREL1,,Story,Low,ARF223:Deployment: 223 - Release2 prep,,5,kummarip,Story Done,BP: EFDDH Sprint 5,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,,,,,,,,,18/07/2024,26/08/2024,09/09/2024,09/09/2024
EFDDH-860,7828054,,,EFDDH-8,,,Story,Low,Platfom: Build - Update K8 Script to handle DBT variable provided dynamically via DAG,,2,mahajaa4,Story Done,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,,,,,,,,,,,,,,26/08/2024,04/10/2024,04/10/2024
EFDDH-859,7827038,,,EFDDH-3,RegDHGCPRel29Aug,,Story,Highest,ARF223:Prod-Bugs: 223 -DAG Changes for ENV DATES and APPLICATION ENV DATES,,2,geesalan,Story Done,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,,,,,,,18/07/2024,26/08/2024,08/10/2024,08/10/2024
EFDDH-858,7823553,,,EFDDH-3,,,Story,Highest,ARF223:Sourcing: 223 - DGCP - pubsub messages for each table/view mentioned in the doc,,5,thirunab,Story Done,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,,,,,,,,,,,,,,,,,23/08/2024,23/08/2024,05/09/2024,05/09/2024
EFDDH-857,7822521,,,EFDDH-3,EFDDH-BP-MVPREL1,,Story,Highest,ARF223:Prod-Bugs: 223 -Null Columns in the DGCP View anz-data-dgcp-prd-6443dd.T1_CREDITLENS_AU_CFDL_VW.CLAU_BS_ENTITY_MATCHING_CFDL_VW ,,2,thirunab,Story Done,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,,,,,,,08/10/2024,23/08/2024,16/10/2024,16/10/2024
EFDDH-856,7822427,,,EFDDH-9,PlatformFDH,,Story,High,Platform: CICD: SWG Proxy Onboarding -PROD,"As an Engineer, I want my SWG Proxy Onboarding to be completed so i can access Azure APP via codefresh(for Terraform Setup) as well from K8 Namespace(non prod).  

 

[https://confluence.service.anz/display/SEISS/SWG+Non-Prod+Onboarding+process+-+GCP]

 ",5,raja19,Story Done,BP: EFDDH Sprint 3,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,,,,,,,,,,,,,,,23/08/2024,17/09/2024,03/09/2024
EFDDH-855,7822421,,,,,,Story,Low,Platform: Prod Dry run ,,5,mahajaa4,Story Done,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,,,,,,,,,,,,,,,,23/08/2024,10/09/2024,10/09/2024
EFDDH-854,7822418,,,,RegDHGCPRel29Aug,,Story,Low,CLONE - Platform:GMS Prod deployment,,5,mahajaa4,Closed,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,,,,,,,,,,,,,,,,23/08/2024,31/10/2024,31/10/2024
EFDDH-853,7822412,,,EFDDH-983,RegDHGCPRel29Aug,,Story,Low, Platform: Build: Update DGCP check setup and testing ,,5,mahajaa4,Story Done,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,,,,,,,,,,,,,,,23/08/2024,26/09/2024,26/09/2024
EFDDH-852,7822320,,,EFDDH-3,RegDHGCPRel29Aug,,Story,Highest,ARF223:Prod-Bugs: 223 -Records not loaded for ARBLS_SEC_DRV2_PIVOT,,2,geesalan,Story Done,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,,,,,,,,18/07/2024,23/08/2024,01/10/2024,30/09/2024
EFDDH-851,7822400,,,EFDDH-37,,,Story,Low,ARF223:Misc: 223 - FinTech Doc - documentation for design decisons,,1,kummarip,Story Done,BP: EFDDH Sprint 5,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,BP: EFDDH Sprint 18,,,,,,16/10/2024,23/08/2024,23/10/2024,23/10/2024
